engine_id,cylinder,label,severity
test_0007,2,pompa,srednie
test_0007,3,ok,nie_dotyczy
test_0007,4,zakoksowany,srednie
test_0007,5,iglica,male
test_0007,6,unknown,nie_dotyczy
test_0007,7,lejacy,duze
test_0007,8,pompa,srednie
test_0007,9,ok,nie_dotyczy
test_0007,10,zakoksowany,srednie
test_0007,11,iglica,male
test_0007,12,unknown,nie_dotyczy
test_0007,13,lejacy,duze
test_0007,14,pompa,srednie
test_0007,15,ok,nie_dotyczy
test_0007,16,zakoksowany,srednie
test_0008,1,iglica,male
test_0008,2,unknown,nie_dotyczy
test_0008,3,lejacy,duze
test_0008,4,pompa,srednie
test_0008,5,ok,nie_dotyczy
test_0008,6,zakoksowany,srednie
test_0008,7,iglica,male
test_0008,8,unknown,nie_dotyczy
test_0008,9,lejacy,duze
test_0008,10,pompa,srednie
test_0008,11,ok,nie_dotyczy
test_0008,12,zakoksowany,srednie
test_0008,13,iglica,male
test_0008,14,unknown,nie_dotyczy
test_0008,15,lejacy,duze
test_0008,16,pompa,srednie
test_0009,1,ok,nie_dotyczy
test_0009,2,zakoksowany,srednie
test_0009,3,iglica,male
test_0009,4,unknown,nie_dotyczy
test_0009,5,lejacy,duze
test_0009,6,pompa,srednie
test_0009,7,ok,nie_dotyczy
test_0009,8,zakoksowany,srednie
test_0009,9,iglica,male
test_0009,10,unknown,nie_dotyczy
test_0009,11,lejacy,duze
test_0009,12,pompa,srednie
test_0009,13,ok,nie_dotyczy
test_0009,14,zakoksowany,srednie
test_0009,15,iglica,male
test_0009,16,unknown,nie_dotyczy
test_0010,1,lejacy,duze
test_0010,2,pompa,srednie
test_0010,3,ok,nie_dotyczy
test_0010,4,zakoksowany,srednie
test_0010,5,iglica,male
test_0010,6,unknown,nie_dotyczy
test_0010,7,lejacy,duze
test_0010,8,pompa,srednie
test_0010,9,ok,nie_dotyczy
test_0010,10,zakoksowany,srednie
test_0010,11,iglica,male
test_0010,12,unknown,nie_dotyczy
test_0010,13,lejacy,duze
test_0010,14,pompa,srednie
test_0010,15,ok,nie_dotyczy
test_0010,16,zakoksowany,srednie
test_0011,1,iglica,male
test_0011,2,unknown,nie_dotyczy
test_0011,3,lejacy,duze
test_0011,4,pompa,srednie
test_0011,5,ok,nie_dotyczy
test_0011,6,zakoksowany,srednie
test_0011,7,iglica,male
test_0011,8,unknown,nie_dotyczy
test_0011,9,lejacy,duze
test_0011,10,pompa,srednie
test_0011,11,ok,nie_dotyczy
test_0011,12,zakoksowany,srednie
test_0011,13,iglica,male
test_0011,14,unknown,nie_dotyczy
test_0011,15,lejacy,duze
test_0011,16,pompa,srednie
test_0012,1,ok,nie_dotyczy
test_0012,2,zakoksowany,srednie
test_0012,3,iglica,male
test_0012,4,unknown,nie_dotyczy
test_0012,5,lejacy,duze
test_0012,6,pompa,srednie
test_0012,7,ok,nie_dotyczy
test_0012,8,zakoksowany,srednie
test_0012,9,iglica,male
test_0012,10,unknown,nie_dotyczy
test_0012,11,lejacy,duze
test_0012,12,pompa,srednie
test_0012,13,ok,nie_dotyczy
test_0012,14,zakoksowany,srednie
test_0012,15,iglica,male
test_0012,16,unknown,nie_dotyczy
test_0013,1,lejacy,duze
test_0013,2,pompa,srednie
test_0013,3,ok,nie_dotyczy
test_0013,4,zakoksowany,srednie
test_0013,5,iglica,male
test_0013,6,unknown,nie_dotyczy
test_0013,7,lejacy,duze
test_0013,8,pompa,srednie
test_0013,9,ok,nie_dotyczy
test_0013,10,zakoksowany,srednie
test_0013,11,iglica,male
test_0013,12,unknown,nie_dotyczy
test_0014,1,lejacy,duze
test_0014,2,pompa,srednie
test_0014,3,ok,nie_dotyczy
test_0014,4,zakoksowany,srednie
test_0014,5,iglica,male
test_0014,6,unknown,nie_dotyczy
test_0014,7,lejacy,duze
test_0014,8,pompa,srednie
test_0015,1,ok,nie_dotyczy
test_0015,2,zakoksowany,srednie
test_0015,3,iglica,male
test_0015,4,unknown,nie_dotyczy
test_0015,5,lejacy,duze
test_0015,6,pompa,srednie
test_0015,7,ok,nie_dotyczy
test_0015,8,zakoksowany,srednie
test_0015,9,iglica,male
test_0015,10,unknown,nie_dotyczy
test_0015,11,lejacy,duze
test_0015,12,pompa,srednie
test_0016,1,ok,nie_dotyczy
test_0016,2,zakoksowany,srednie
test_0016,3,iglica,male
test_0016,4,unknown,nie_dotyczy
test_0016,5,lejacy,duze
test_0016,6,pompa,srednie
test_0016,7,ok,nie_dotyczy
test_0016,8,zakoksowany,srednie
test_0017,1,iglica,male
test_0017,2,unknown,nie_dotyczy
test_0017,3,lejacy,duze
test_0017,4,pompa,srednie
test_0017,5,ok,nie_dotyczy
test_0017,6,zakoksowany,srednie
test_0017,7,iglica,male
test_0017,8,unknown,nie_dotyczy
test_0017,9,lejacy,duze
test_0017,10,pompa,srednie
test_0017,11,ok,nie_dotyczy
test_0017,12,zakoksowany,srednie
test_0018,1,iglica,male
test_0018,2,unknown,nie_dotyczy
test_0018,3,lejacy,duze
test_0018,4,pompa,srednie
test_0018,5,ok,nie_dotyczy
test_0018,6,zakoksowany,srednie
test_0018,7,iglica,male
test_0018,8,unknown,nie_dotyczy
test_0018,9,lejacy,duze
test_0018,10,pompa,srednie
test_0018,11,ok,nie_dotyczy
test_0018,12,zakoksowany,srednie
test_0018,13,iglica,male
test_0018,14,unknown,nie_dotyczy
test_0018,15,lejacy,duze
test_0018,16,pompa,srednie
test_0019,1,ok,nie_dotyczy
test_0019,2,zakoksowany,srednie
test_0019,3,iglica,male
test_0019,4,unknown,nie_dotyczy
test_0019,5,lejacy,duze
test_0019,6,pompa,srednie
test_0019,7,ok,nie_dotyczy
test_0019,8,zakoksowany,srednie
test_0020,1,iglica,male
test_0020,2,unknown,nie_dotyczy
test_0020,3,lejacy,duze
test_0020,4,pompa,srednie
test_0020,5,ok,nie_dotyczy
test_0020,6,zakoksowany,srednie
test_0020,7,iglica,male
test_0020,8,unknown,nie_dotyczy
test_0020,9,lejacy,duze
test_0020,10,pompa,srednie
test_0020,11,ok,nie_dotyczy
test_0020,12,zakoksowany,srednie
test_0021,1,iglica,male
test_0021,2,unknown,nie_dotyczy
test_0021,3,lejacy,duze
test_0021,4,pompa,srednie
test_0021,5,ok,nie_dotyczy
test_0021,6,zakoksowany,srednie
test_0021,7,iglica,male
test_0021,8,unknown,nie_dotyczy
test_0022,1,lejacy,duze
test_0022,2,pompa,srednie
test_0022,3,ok,nie_dotyczy
test_0022,4,zakoksowany,srednie
test_0022,5,iglica,male
test_0022,6,unknown,nie_dotyczy
test_0022,7,lejacy,duze
test_0022,8,pompa,srednie
test_0023,1,ok,nie_dotyczy
test_0023,2,zakoksowany,srednie
test_0023,3,iglica,male
test_0023,4,unknown,nie_dotyczy
test_0023,5,lejacy,duze
test_0023,6,pompa,srednie
test_0023,7,ok,nie_dotyczy
test_0023,8,zakoksowany,srednie
test_0023,9,iglica,male
test_0023,10,unknown,nie_dotyczy
test_0023,11,lejacy,duze
test_0023,12,pompa,srednie
test_0023,13,ok,nie_dotyczy
test_0023,14,zakoksowany,srednie
test_0023,15,iglica,male
test_0023,16,unknown,nie_dotyczy
test_0024,1,lejacy,duze
test_0024,2,pompa,srednie
test_0024,3,ok,nie_dotyczy
test_0024,4,zakoksowany,srednie
test_0024,5,iglica,male
test_0024,6,unknown,nie_dotyczy
test_0024,7,lejacy,duze
test_0024,8,pompa,srednie
test_0025,1,ok,nie_dotyczy
test_0025,2,zakoksowany,srednie
test_0025,3,iglica,male
test_0025,4,unknown,nie_dotyczy
test_0025,5,lejacy,duze
test_0025,6,pompa,srednie
test_0025,7,ok,nie_dotyczy
test_0025,8,zakoksowany,srednie
test_0026,1,iglica,male
test_0026,2,unknown,nie_dotyczy
test_0026,3,lejacy,duze
test_0026,4,pompa,srednie
test_0026,5,ok,nie_dotyczy
test_0026,6,zakoksowany,srednie
test_0026,7,iglica,male
test_0026,8,unknown,nie_dotyczy
test_0026,9,lejacy,duze
test_0026,10,pompa,srednie
test_0026,11,ok,nie_dotyczy
test_0026,12,zakoksowany,srednie
test_0026,13,iglica,male
test_0026,14,unknown,nie_dotyczy
test_0026,15,lejacy,duze
test_0026,16,pompa,srednie
test_0027,1,ok,nie_dotyczy
test_0027,2,zakoksowany,srednie
test_0027,3,iglica,male
test_0027,4,unknown,nie_dotyczy
test_0027,5,lejacy,duze
test_0027,6,pompa,srednie
test_0027,7,ok,nie_dotyczy
test_0027,8,zakoksowany,srednie
test_0027,9,iglica,male
test_0027,10,unknown,nie_dotyczy
test_0027,11,lejacy,duze
test_0027,12,pompa,srednie
test_0028,1,ok,nie_dotyczy
test_0028,2,zakoksowany,srednie
test_0028,3,iglica,male
test_0028,4,unknown,nie_dotyczy
test_0028,5,lejacy,duze
test_0028,6,pompa,srednie
test_0028,7,ok,nie_dotyczy
test_0028,8,zakoksowany,srednie
test_0028,9,iglica,male
test_0028,10,unknown,nie_dotyczy
test_0028,11,lejacy,duze
test_0028,12,pompa,srednie
test_0029,1,ok,nie_dotyczy
test_0029,2,zakoksowany,srednie
test_0029,3,iglica,male
test_0029,4,unknown,nie_dotyczy
test_0029,5,lejacy,duze
test_0029,6,pompa,srednie
test_0029,7,ok,nie_dotyczy
test_0029,8,zakoksowany,srednie
test_0029,9,iglica,male
test_0029,10,unknown,nie_dotyczy
test_0029,11,lejacy,duze
test_0029,12,pompa,srednie
test_0030,1,ok,nie_dotyczy
test_0030,2,zakoksowany,srednie
test_0030,3,iglica,male
test_0030,4,unknown,nie_dotyczy
test_0030,5,lejacy,duze
test_0030,6,pompa,srednie
test_0030,7,ok,nie_dotyczy
test_0030,8,zakoksowany,srednie
test_0030,9,iglica,male
test_0030,10,unknown,nie_dotyczy
test_0030,11,lejacy,duze
test_0030,12,pompa,srednie
test_0031,1,ok,nie_dotyczy
test_0031,2,zakoksowany,srednie
test_0031,3,iglica,male
test_0031,4,unknown,nie_dotyczy
test_0031,5,lejacy,duze
test_0031,6,pompa,srednie
test_0031,7,ok,nie_dotyczy
test_0031,8,zakoksowany,srednie
test_0032,1,iglica,male
test_0032,2,unknown,nie_dotyczy
test_0032,3,lejacy,duze
test_0032,4,pompa,srednie
test_0032,5,ok,nie_dotyczy
test_0032,6,zakoksowany,srednie
test_0032,7,iglica,male
test_0032,8,unknown,nie_dotyczy
test_0032,9,lejacy,duze
test_0032,10,pompa,srednie
test_0032,11,ok,nie_dotyczy
test_0032,12,zakoksowany,srednie
test_0032,13,iglica,male
test_0032,14,unknown,nie_dotyczy
test_0032,15,lejacy,duze
test_0032,16,pompa,srednie
test_0033,1,ok,nie_dotyczy
test_0033,2,zakoksowany,srednie
test_0033,3,iglica,male
test_0033,4,unknown,nie_dotyczy
test_0033,5,lejacy,duze
test_0033,6,pompa,srednie
test_0033,7,ok,nie_dotyczy
test_0033,8,zakoksowany,srednie
test_0033,9,iglica,male
test_0033,10,unknown,nie_dotyczy
test_0033,11,lejacy,duze
test_0033,12,pompa,srednie
test_0033,13,ok,nie_dotyczy
test_0033,14,zakoksowany,srednie
test_0033,15,iglica,male
test_0033,16,unknown,nie_dotyczy
test_0034,1,lejacy,duze
test_0034,2,pompa,srednie
test_0034,3,ok,nie_dotyczy
test_0034,4,zakoksowany,srednie
test_0034,5,iglica,male
test_0034,6,unknown,nie_dotyczy
test_0034,7,lejacy,duze
test_0034,8,pompa,srednie
test_0035,1,ok,nie_dotyczy
test_0035,2,zakoksowany,srednie
test_0035,3,iglica,male
test_0035,4,unknown,nie_dotyczy
test_0035,5,lejacy,duze
test_0035,6,pompa,srednie
test_0035,7,ok,nie_dotyczy
test_0035,8,zakoksowany,srednie
test_0036,1,iglica,male
test_0036,2,unknown,nie_dotyczy
test_0036,3,lejacy,duze
test_0036,4,pompa,srednie
test_0036,5,ok,nie_dotyczy
test_0036,6,zakoksowany,srednie
test_0036,7,iglica,male
test_0036,8,unknown,nie_dotyczy
test_0036,9,lejacy,duze
test_0036,10,pompa,srednie
test_0036,11,ok,nie_dotyczy
test_0036,12,zakoksowany,srednie
test_0037,1,iglica,male
test_0037,2,unknown,nie_dotyczy
test_0037,3,lejacy,duze
test_0037,4,pompa,srednie
test_0037,5,ok,nie_dotyczy
test_0037,6,zakoksowany,srednie
test_0037,7,iglica,male
test_0037,8,unknown,nie_dotyczy
test_0037,9,lejacy,duze
test_0037,10,pompa,srednie
test_0037,11,ok,nie_dotyczy
test_0037,12,zakoksowany,srednie
test_0038,1,iglica,male
test_0038,2,unknown,nie_dotyczy
test_0038,3,lejacy,duze
test_0038,4,pompa,srednie
test_0038,5,ok,nie_dotyczy
test_0038,6,zakoksowany,srednie
test_0038,7,iglica,male
test_0038,8,unknown,nie_dotyczy
test_0038,9,lejacy,duze
test_0038,10,pompa,srednie
test_0038,11,ok,nie_dotyczy
test_0038,12,zakoksowany,srednie
test_0039,1,iglica,male
test_0039,2,unknown,nie_dotyczy
test_0039,3,lejacy,duze
test_0039,4,pompa,srednie
test_0039,5,ok,nie_dotyczy
test_0039,6,zakoksowany,srednie
test_0039,7,iglica,male
test_0039,8,unknown,nie_dotyczy
test_0040,1,lejacy,duze
test_0040,2,pompa,srednie
test_0040,3,ok,nie_dotyczy
test_0040,4,zakoksowany,srednie
test_0040,5,iglica,male
test_0040,6,unknown,nie_dotyczy
test_0040,7,lejacy,duze
test_0040,8,pompa,srednie
test_0040,9,ok,nie_dotyczy
test_0040,10,zakoksowany,srednie
test_0040,11,iglica,male
test_0040,12,unknown,nie_dotyczy
test_0041,1,lejacy,duze
test_0041,2,pompa,srednie
test_0041,3,ok,nie_dotyczy
test_0041,4,zakoksowany,srednie
test_0041,5,iglica,male
test_0041,6,unknown,nie_dotyczy
test_0041,7,lejacy,duze
test_0041,8,pompa,srednie
test_0042,1,ok,nie_dotyczy
test_0042,2,zakoksowany,srednie
test_0042,3,iglica,male
test_0042,4,unknown,nie_dotyczy
test_0042,5,lejacy,duze
test_0042,6,pompa,srednie
test_0042,7,ok,nie_dotyczy
test_0042,8,zakoksowany,srednie
test_0042,9,iglica,male
test_0042,10,unknown,nie_dotyczy
test_0042,11,lejacy,duze
test_0042,12,pompa,srednie
test_0043,1,ok,nie_dotyczy
test_0043,2,zakoksowany,srednie
test_0043,3,iglica,male
test_0043,4,unknown,nie_dotyczy
test_0043,5,lejacy,duze
test_0043,6,pompa,srednie
test_0043,7,ok,nie_dotyczy
test_0043,8,zakoksowany,srednie
test_0043,9,iglica,male
test_0043,10,unknown,nie_dotyczy
test_0043,11,lejacy,duze
test_0043,12,pompa,srednie
test_0044,1,ok,nie_dotyczy
test_0044,2,zakoksowany,srednie
test_0044,3,iglica,male
test_0044,4,unknown,nie_dotyczy
test_0044,5,lejacy,duze
test_0044,6,pompa,srednie
test_0044,7,ok,nie_dotyczy
test_0044,8,zakoksowany,srednie
test_0044,9,iglica,male
test_0044,10,unknown,nie_dotyczy
test_0044,11,lejacy,duze
test_0044,12,pompa,srednie
test_0044,13,ok,nie_dotyczy
test_0044,14,zakoksowany,srednie
test_0044,15,iglica,male
test_0044,16,unknown,nie_dotyczy
test_0045,1,lejacy,duze
test_0045,2,pompa,srednie
test_0045,3,ok,nie_dotyczy
test_0045,4,zakoksowany,srednie
test_0045,5,iglica,male
test_0045,6,unknown,nie_dotyczy
test_0045,7,lejacy,duze
test_0045,8,pompa,srednie
test_0045,9,ok,nie_dotyczy
test_0045,10,zakoksowany,srednie
test_0045,11,iglica,male
test_0045,12,unknown,nie_dotyczy
test_0045,13,lejacy,duze
test_0045,14,pompa,srednie
test_0045,15,ok,nie_dotyczy
test_0045,16,zakoksowany,srednie
test_0046,1,iglica,male
test_0046,2,unknown,nie_dotyczy
test_0046,3,lejacy,duze
test_0046,4,pompa,srednie
test_0046,5,ok,nie_dotyczy
test_0046,6,zakoksowany,srednie
test_0046,7,iglica,male
test_0046,8,unknown,nie_dotyczy
test_0047,1,lejacy,duze
test_0047,2,pompa,srednie
test_0047,3,ok,nie_dotyczy
test_0047,4,zakoksowany,srednie
test_0047,5,iglica,male
test_0047,6,unknown,nie_dotyczy
test_0047,7,lejacy,duze
test_0047,8,pompa,srednie
test_0047,9,ok,nie_dotyczy
test_0047,10,zakoksowany,srednie
test_0047,11,iglica,male
test_0047,12,unknown,nie_dotyczy
test_0047,13,lejacy,duze
test_0047,14,pompa,srednie
test_0047,15,ok,nie_dotyczy
test_0047,16,zakoksowany,srednie
test_0048,1,iglica,male
test_0048,2,unknown,nie_dotyczy
test_0048,3,lejacy,duze
test_0048,4,pompa,srednie
test_0048,5,ok,nie_dotyczy
test_0048,6,zakoksowany,srednie
test_0048,7,iglica,male
test_0048,8,unknown,nie_dotyczy
test_0048,9,lejacy,duze
test_0048,10,pompa,srednie
test_0048,11,ok,nie_dotyczy
test_0048,12,zakoksowany,srednie
test_0049,1,iglica,male
test_0049,2,unknown,nie_dotyczy
test_0049,3,lejacy,duze
test_0049,4,pompa,srednie
test_0049,5,ok,nie_dotyczy
test_0049,6,zakoksowany,srednie
test_0049,7,iglica,male
test_0049,8,unknown,nie_dotyczy
test_0049,9,lejacy,duze
test_0049,10,pompa,srednie
test_0049,11,ok,nie_dotyczy
test_0049,12,zakoksowany,srednie
test_0049,13,iglica,male
test_0049,14,unknown,nie_dotyczy
test_0049,15,lejacy,duze
test_0049,16,pompa,srednie
